Москва:
id товара,наименование,ссылка на товар,регулярная цена,промо цена,бренд
156065,"Functional Nutrition Корм сухой для стерилизованных кошек, с индейкой и уткой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-indeykoy-kuricey-i-utkoy-400g.html,1499,1499,Mealfeel
45702,"Sterilised Сухой корм для поддержания здоровья почек после стерилизации для взрослых кошек, с индейкой, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_After_Care_suhoy_korm_dlya_kastrirovannyhsterilizovannyh_koshek_indeykakuritsa.html,3699,2960,PRO PLAN®
86129,"Sterilised сухой корм для взрослых кошек для стерилизованных с чувствительным пищеварением с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-dlya-sterilizovannyh-koshek-s-kuricey.html,2075,1660,PRO PLAN®
148181,"Kitten Delicate Корм сухой для котят с чувствительным пищеварением, с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/korm-suhoy-dlya-kotyat-chuvstvitelnoe-pishchevarenie-s-indeykoy.html,1029,1029,Wellkiss
45725,"Exigent 35/30 Savour Sensation корм для кошек, привередливых к вкусу продукта, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Exigent_3530_Savour_Sensation_suhoy_korm_suhoy_dlya_priveredlivyh_koshek.html,2555,2172,Royal Canin
154260,"Корм сухой для взрослых кошек крупных пород, с индейкой и курицей, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-krupnyh-porod-s-indeykoy-i-kuricey-400g.html,1999,1999,Mealfeel
145770,"Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-care-korm-dlya-vzroslyh-koshek-hypoallergenic-s-ryboy-pak-1-5kg.html,2815,2815,Ownat
42544,"HA ST/OX Hypoallergenic Сухой диетический корм для кошек при пищевой непереносимости, 1,3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Purina_Veterinary_Diets_NA_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_allergii.html,3179,3179,PRO PLAN® Veterinary Diets
42548,"Veterinary Diets UR ST/OX Urinary сухой корм для взрослых кошек для взрослых кошек при болезни нижних отделов мочевыводящих путей, с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/Purina_Veterinary_Diets_UR_dieticheskiy_suhoy_korm_dlya_koshek_pri_MKB.html,2879,2879,PRO PLAN® Veterinary Diets
119886,"N&D PRIME сухой корм для кошек, с курицей и гранатом, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/kholistik/farmina-n-d-prime-cat-chicken-pomegranate-adult-300g.html,3359,3359,Farmina
45709,"Sensible 33 сухой корм для кошек с чувствительной пищеварительной системой в возрасте с 1 года до 7 лет, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sensible_33_suhoy_korm_dlya_koshek_pri_chuvstvitelnom_pishchevarenii.html,2409,2048,Royal Canin
119881,"N&D PRIME сухой корм для котят, с курицей и гранатом, 1,5кг",https://4lapy.ru/catalog/koshki/tovary-dlya-kotyat/korm-zaveli-kotenka/farmina-n-d-prime-cat-chicken-pomegranate-kitten-300g.html,3695,3695,Farmina
148702,"Корм сухой для кошек старше 7 лет, с курицей и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-starshe-7-let-s-kuricey-i-indeykoy.html,1499,1499,Mealfeel
120010,"Vet Life UltraHypo диетический сухой корм для кошек, гипоаллергенный, с рыбой, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/dieticheskiy/vet-life-natural-diet-cat-ultrahypo-400-gr.html,4219,4219,Farmina
